company_id,company_name,department_id,account_id,year_month,actual_amount,budget_amount,currency,load_timestamp
100,SolarCo East,D100,4000,2024-01,286954.0,280000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,4100,2024-01,122980.28,120000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5000,2024-01,-162840.13,-160000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5100,2024-01,-74067.19,-65000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5200,2024-01,-27208.08,-26000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5300,2024-01,-20406.07,-19500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5400,2024-01,-14852.11,-13000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D100,5500,2024-01,-7146.7,-6500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,4000,2024-01,273427.36,280000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,4100,2024-01,117183.15,120000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5000,2024-01,-160482.8,-160000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5100,2024-01,-43609.06,-45000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5200,2024-01,-18075.58,-18000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5300,2024-01,-12113.25,-13500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5400,2024-01,-8159.6,-9000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D200,5500,2024-01,-4339.35,-4500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,4000,2024-01,66455.09,70000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,4100,2024-01,28480.75,30000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5000,2024-01,-38571.0,-40000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5100,2024-01,-31406.84,-35000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5200,2024-01,-14507.84,-14000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5300,2024-01,-10023.5,-10500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5400,2024-01,-6781.45,-7000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D300,5500,2024-01,-3138.58,-3500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,4000,2024-01,68094.66,70000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,4100,2024-01,29183.43,30000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5000,2024-01,-39127.04,-40000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5100,2024-01,-24220.09,-25000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5200,2024-01,-9223.82,-10000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5300,2024-01,-7028.03,-7500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5400,2024-01,-4611.66,-5000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D400,5500,2024-01,-2597.53,-2500.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,4000,2024-01,69952.76,70000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,4100,2024-01,29979.75,30000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5000,2024-01,-37859.01,-40000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5100,2024-01,-20081.54,-20000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5200,2024-01,-8644.16,-8000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5300,2024-01,-5787.44,-6000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5400,2024-01,-3993.35,-4000.0,USD,2025-12-08T14:42:18Z
100,SolarCo East,D500,5500,2024-01,-2159.76,-2000.0,USD,2025-12-08T14:42:18Z
200,SolarCo West,D100,4000,2024-01,232270.83,224000.0,USD,2025-12-08T14:42:18Z
